1,1,183,123
1,1,182,123
1,1,180,123
1,1,171,123
1,1,159,126
1,1,142,132
1,1,128,143
1,1,122,151
1,1,114,162
1,1,111,167
1,1,104,180
1,1,103,184
1,1,102,189
1,1,102,195
1,1,102,199
1,1,107,204
1,1,115,210
1,1,131,219
1,1,151,228
1,1,174,238
1,1,196,249
1,1,218,259
1,1,229,265
1,1,240,271
1,1,245,274
1,1,246,276
1,1,247,277
1,1,246,280
1,1,241,282
1,1,229,288
1,1,221,292
1,1,189,315
1,1,168,333
1,1,156,347
1,1,145,361
1,1,137,373
1,1,133,382
1,1,133,389
1,1,133,394
1,1,144,401
1,1,156,406
1,1,161,407
1,1,179,411
1,1,185,412
1,1,191,413
1,1,195,415
1,1,199,416
1,1,202,418
1,1,205,420
1,1,208,422
1,1,211,427
1,1,213,432
1,1,213,435
1,1,213,438
1,1,209,448
1,1,209,449
1,1,208,456
1,1,208,462
1,1,211,466
1,1,217,466
1,1,223,465
